submission_id,user_id,cluster,score,language,function,algorithm,implementation,confidence,notes,annotation_round
1323073128,user_0097,cpp_c_0,50,cpp,Compute expected value after K random box operations,Probability DP,DP over probability distribution of possible box values/states,high,Propagates probability mass across steps and computes the final expectation as a weighted sum.,1
1361335320,user_0033,cpp_c_1,50,cpp,Compute expected value after K random box operations,Recursive expectation,Direct recursive expectation recurrence,high,"Recursively evaluates f(n,k)=average(f(i,k-1)) without a DP table.",1
1359953979,user_0002,cpp_c_1,50,cpp,Compute expected value after K random box operations,Expectation DP,DP table of expected values,high,Computes expected values for states/steps by averaging previous-step expectations; often optimized with prefix sums.,1
1370578798,user_0135,cpp_c_1,50,cpp,Compute expected value after K random box operations,Expectation DP,DP table of expected values,high,Computes expected values for states/steps by averaging previous-step expectations; often optimized with prefix sums.,1
1391865112,user_0093,cpp_c_2,50,cpp,Compute expected value after K random box operations,Expectation recurrence,Closed-form one-variable recurrence,high,Updates the expected value directly for K steps using E <- (E+1)/2.,1
1332763768,user_0004,cpp_c_2,50,cpp,Compute expected value after K random box operations,Expectation recurrence,Closed-form one-variable recurrence,high,Updates the expected value directly for K steps using E <- (E+1)/2.,1
1332762969,user_0045,cpp_c_2,50,cpp,Compute expected value after K random box operations,Expectation recurrence,Closed-form one-variable recurrence,high,Updates the expected value directly for K steps using E <- (E+1)/2.,1
1323426563,user_0060,java_0,50,java,Compute expected value after K random box operations,Expectation recurrence,Closed-form one-variable recurrence,high,Updates the expected value directly for K steps using E <- (E+1)/2.,1
1314236668,user_0092,java_0,50,java,Compute expected value after K random box operations,Expectation recurrence,Closed-form one-variable recurrence,high,Updates the expected value directly for K steps using E <- (E+1)/2.,1
1332760961,user_0037,java_0,50,java,Compute expected value after K random box operations,Expectation recurrence,Closed-form one-variable recurrence,high,Updates the expected value directly for K steps using E <- (E+1)/2.,1
1378142650,user_0107,java_1,50,java,Compute expected value after K random box operations,Expectation DP,DP table of expected values,high,Computes expected values for states/steps by averaging previous-step expectations; often optimized with prefix sums.,1
1314236869,user_0082,java_1,50,java,Compute expected value after K random box operations,Expectation DP,DP table of expected values,high,Computes expected values for states/steps by averaging previous-step expectations; often optimized with prefix sums.,1
1314170331,user_0122,java_1,50,java,Compute expected value after K random box operations,Probability DP,DP over probability distribution of possible box values/states,high,Propagates probability mass across steps and computes the final expectation as a weighted sum.,1
1314237325,user_0126,java_2,50,java,Compute expected value after K random box operations,Expectation recurrence,Closed-form one-variable recurrence,high,Updates the expected value directly for K steps using E <- (E+1)/2.,1
1323427418,user_0006,java_2,50,java,Compute expected value after K random box operations,Probability DP,DP over probability distribution of possible box values/states,high,Propagates probability mass across steps and computes the final expectation as a weighted sum.,1
1323453896,user_0008,java_2,50,java,Compute expected value after K random box operations,Probability DP,DP over probability distribution of possible box values/states,high,Propagates probability mass across steps and computes the final expectation as a weighted sum.,1
1314236083,user_0085,,50,java,Compute expected value after K random box operations,Probability DP,DP over probability distribution of possible box values/states,high,Propagates probability mass across steps and computes the final expectation as a weighted sum. Manually reviewed after the full run.,2
1323415130,user_0076,,50,java,Compute expected value after K random box operations,Probability DP,DP over probability distribution of possible box values/states,high,Propagates probability mass across steps and computes the final expectation as a weighted sum. Manually reviewed after the full run.,2
1323416429,user_0066,,50,cpp,Compute expected value after K random box operations,Probability DP,DP over probability distribution of possible box values/states,high,Propagates probability mass across steps and computes the final expectation as a weighted sum. Manually reviewed after the full run.,2
1370608488,user_0135,,50,cpp,Compute expected value after K random box operations,Expectation DP,DP table of expected values,high,Computes expected values for states/steps by averaging previous-step expectations; often optimized with prefix sums. Manually reviewed after the full run.,2
