submission_id,user_id,cluster,score,language,function,algorithm,implementation,confidence,notes,annotation_round
1314224415,user_0173,,50.0,cpp,Minimize total charging cost along the route,DP battery state,"2D DP on (intersection, battery level)",high,dp[i][battery] stores minimum cost; transitions buy energy or move to the next intersection.,1
1314237125,user_0107,,2.5,java,Minimize total charging cost along the route,DP battery state,"2D DP on (intersection, battery level)",high,dp[i][battery] stores minimum cost; transitions buy energy or move to the next intersection.,1
1408567387,user_0065,,50.0,cpp,Minimize total charging cost along the route,Dijkstra battery-state graph,"Dijkstra on state graph (intersection, battery)",high,Priority queue over cost and state; relaxes charging and movement transitions.,1
1408435063,user_0093,,25.0,cpp,Minimize total charging cost along the route,Dijkstra jump graph,Dijkstra on jump graph between intersections,high,"Builds weighted edges for reachable jumps/charging cost, then runs Dijkstra over intersections.",1
1391931891,user_0069,,50.0,cpp,Minimize total charging cost along the route,Greedy next-cheaper scan,Forward scan for first cheaper price within battery range,high,At each station looks ahead up to capacity and buys only enough to reach a cheaper station or the end.,1
1408490925,user_0113,,50.0,cpp,Minimize total charging cost along the route,Greedy next-cheaper scan,Forward scan for first cheaper price within battery range,high,At each station looks ahead up to capacity and buys only enough to reach a cheaper station or the end.,1
1391614198,user_0035,,50.0,cpp,Minimize total charging cost along the route,Greedy next-cheaper stack,Next-cheaper preprocessing with a monotonic stack + greedy charging,high,Precomputes the next cheaper station and then applies the charging greedy rule.,1
1391860619,user_0169,,42.5,java,Minimize total charging cost along the route,Greedy next-cheaper stack,Next-cheaper preprocessing with a monotonic stack + greedy charging,high,Precomputes the next cheaper station and then applies the charging greedy rule.,1
1404837345,user_0083,,50.0,cpp,Minimize total charging cost along the route,Sliding-window minimum deque,Monotonic deque maintaining the minimum reachable price,high,Removes expired or dominated candidates while scanning the route.,1
1408347459,user_0146,,50.0,cpp,Minimize total charging cost along the route,Sliding-window minimum deque,Monotonic deque maintaining the minimum reachable price,high,Removes expired or dominated candidates while scanning the route.,1
1408565472,user_0151,,50.0,cpp,Minimize total charging cost along the route,Sliding-window minimum heap,Heap of price/index pairs for current reachability window,high,"Pushes prices, removes expired indices, and uses heap top as the minimum.",1
1408570968,user_0111,,50.0,cpp,Minimize total charging cost along the route,Sliding-window minimum multiset,Multiset of the last X prices,high,"Inserts current price, erases expired price, and reads the minimum from begin().",1
