"submission_id","user_id","score","language","algorithm","label_type","extraction_source","model","reasoning","model_output"
"1323455893","user_0005","22.5","java","GREEDY_PREFIX_MINIMUM_ACCUMULATION","manual_review","manual_review","manual","","The code reads N, X, v[1..N]. compute: min = v[1]; sum += v[1]; for i=2..N: if v[i] < min: min = v[i]; sum += min; print sum. This is prefix minimum accumulation: at each position, add the minimum seen so far. That matches GREEDY_PREFIX_MINIMUM_ACCUMULATION. So label.<|end|><|start|>assistant"
"1332180233","user_0045","22.5","cpp","DP_POSITION_JUMP_COST","manual_review","manual_review","manual","","<|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|>"
"1332180294","user_0045","25.0","cpp","DP_POSITION_JUMP_COST","manual_review","manual_review","manual","","We need to classify algorithm. Code: dp array size n, but uses dp[i] for i up to n inclusive? dp size n, but accesses dp[n] at end. Off by one but conceptually dp[i] for i from 1..n. For each i, consider j from max(i-x,0) to i-1. temp = dp[j] + arr[j] * (i-j). So cost to go from j to i: buy at j enough to reach i: distance i-j, cost arr[j] per unit. So DP over position and battery. That's DP_POSITION_BATTERY_STATE. Yes. So label.<|end|><|start|>assistant"
"1323453010","user_0054","25.0","java","GREEDY_NEXT_CHEAPER_LINEAR_SCAN","manual_review","manual_review","manual","","We need to classify algorithm. Code: loops over i from 0 to n-1. Maintains crt battery remaining. If crt>0, just consume and move. Else at position i with empty battery, it looks for next cheaper? It sets min=v[i], j=i+1; while j<n && v[j]>min: j++; nb++ counts consecutive higher prices. If j==i+1 (next is cheaper or equal?), then sum+=v[i]; crt=0; i++.

If nb <= x: sum += nb * v[i]; crt=nb-1; i++.

Else: find M among next x positions (i+1 to i+x) the minimum price. sum += v[i]*(id-i); crt = id-i-1; i++.

This is greedy next cheaper linear scan? It scans forward until finds a cheaper price, but only counts consecutive higher prices. If none within capacity, picks cheapest within capacity. That's greedy cheapest available linear scan? It rescans for min within window when capacity insufficient. That's GREEDY_CHEAPEST_AVAILABLE_LINEAR_SCAN. Yes.<|end|><|start|>assistant"
"1391864055","user_0076","25.0","cpp","DP_POSITION_JUMP_COST","manual_review","manual_review","manual","","We have DP over position and battery: dp[i] = min over j within x behind: dp[j] + (i-j)*v[j]. That's DP_POSITION_BATTERY_STATE.<|end|><|start|>assistant"
"1391863997","user_0083","25.0","cpp","GREEDY_NEXT_CHEAPER_LINEAR_SCAN","manual_review","manual_review","manual","","We need to classify algorithm. Code: iterate i from 0 to n-1. cap battery. If cap==0, need to buy. It sets need=1, j=i+1; while j<n && v[j]>=v[i] && need<x: j++; need++; So it scans forward until finds cheaper (v[j] < v[i]) or reach capacity. If j==n or need==x, then need = min(x, n-i). Then res += need * v[i]; cap += need. Then cap-- each step.

This is greedy next cheaper linear scan: at current station, buy enough to reach next cheaper or full capacity. It scans forward until cheaper. That's GREEDY_NEXT_CHEAPER_LINEAR_SCAN. Yes.<|end|><|start|>assistant"
"1331760663","user_0084","22.5","cpp","DP_POSITION_JUMP_COST","manual_review","manual_review","manual","","<|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|><|return|>"
"1331968170","user_0095","22.5","java","GREEDY_PREFIX_MINIMUM_ACCUMULATION","manual_review","manual_review","manual","","We need to classify algorithm. Code: loops i from 0 to n-1. For each i, it sets ok=0, then inner loop j from i down to i-x+1? j>i-x. It checks if j>0 and v[j] < minim then minim=v[j], ok=1, break. After loop, if ok==1 sum+=v[i] else sum+=minim. This seems trying to find first cheaper price in previous x positions? Actually j goes backwards from i to i-x+1, but only if j>0. It compares v[j] < minim. minim initially v[0]. It updates minim to cheaper found. This is like scanning backwards to find cheaper price within last x positions? But algorithm seems wrong. But classification: It scans backwards to find first cheaper? It breaks on first cheaper found. That's next cheaper but backwards? Actually it's scanning previous positions, not future. But conceptually it's greedy cheapest available linear scan? It rescans eligible positions to find cheaper. It updates minim and uses it. This resembles GREEDY_CHEAPEST_AVAILABLE_LINEAR_SCAN: rescans eligible positions to find cheaper source. So label that.<|end|><|start|>assistant"
"1391942742","user_0145","30.0","java","GREEDY_NEXT_CHEAPER_LINEAR_SCAN","manual_review","manual_review","manual","","We see code: for each i, find first cheaper in future within X. That's GREEDY_NEXT_CHEAPER_LINEAR_SCAN. So label.<|end|><|start|>assistant"
"1378145191","user_0180","25.0","cpp","DP_POSITION_JUMP_COST","manual_review","manual_review","manual","","We see DP over position and battery: dp[i] minimal cost to reach position i. Transition from j to i uses battery consumption (i-j) and cost v[j] per unit. That's DP_POSITION_BATTERY_STATE.<|end|><|start|>assistant"
