submission_id,score,language,code_algorithm,text_algorithm,same,code_probability,code_second_algorithm,code_second_probability,text_probability,text_second_algorithm,text_second_probability,description
1314234443,2.5,java,UNKNOWN,DIJKSTRA_UNIT_WEIGHT,NO,0.41796875,UNKNOWN,0.41796875,0.91015625,BFS_EXPLICIT_TIME_IN_QUEUE,0.0274658203125,"The program reads a number of students `n` and a number of friendship pairs `m`. 
It builds an adjacency list: an array `adj` of size 50000 (only the first `n+1` entries are used). 
For each friendship pair `(x, y)` it creates an `Edge` object with `node = y` and `cost = 1` and adds it to `adj[x]`. 
Thus `adj[i]` holds a list of all students that are direct friends of student `i`, together with a weight of 1 for each connection.

After the graph is built, the program prepares three lists of length `n+1`:

* `d` – stores an integer for each student, initially set to a very large value (`Integer.MAX_VALUE`). 
 `d[i]` will hold the smallest number of steps found so far from student 1 to student i.
* `selected` – a boolean list, initially all `false`. 
 `selected[i]` becomes `true` when student i has been taken out of the queue for processing.
* `queue` – a priority queue that holds student indices. 
 The queue is ordered by the natural integer order, so the student with the smallest current distance value will be removed first.

The source student is student 1. 
`d[1]` is set to 0 and student 1 is added to the queue.

The main loop runs while the queue is not empty:

1. The student `u` at the front of the queue is removed (`queue.poll()`). 
 `selected[u]` is set to `true` to mark that `u` has been processed.
2. For every edge stored in `adj[u]` (each neighbor `v` of `u`):
 * The current distance to `v` is `d[v]`. 
 * The distance that would be obtained by going from student 1 to `u` and then to `v` is `d[u] + costV` (here `costV` is always 1). 
 * If this new distance is smaller than the current `d[v]`, the program updates `d[v]` to the new value and inserts `v` into the queue.

Because the queue is a priority queue,"
1314234521,50.0,java,BFS_EXPLICIT_TIME_IN_QUEUE,BFS_DISTANCE_ARRAY,NO,0.6171875,BFS_EXPLICIT_TIME_IN_QUEUE,0.2578125,0.69921875,BFS_EXPLICIT_TIME_IN_QUEUE,0.2275390625,"The program reads a number of students \(N\) and a number of friendship pairs \(M\). 
It builds an **adjacency list**: an array `adj` of size \(N+1\). 
For each student \(i\) (`adj[i]`) holds a list of `Edge` objects, each containing a neighbour’s id (`node`) and a time value (`time`). 
When a friendship pair \((x,y)\) is read, two `Edge` objects are added: one to `adj[x]` pointing to \(y\) and one to `adj[y]` pointing to \(x\). 
The time stored in these edges is always `0` because the input does not provide any weights.

After building the graph, the program starts the spreading process from student 1. 
It creates a boolean array `visited` of size \(N+1\) and marks student 1 as visited. 
A queue of `Edge` objects is created. 
All neighbours of student 1 are put into the queue with a time of `1` (the moment they first learn the news) and are marked visited.

The main loop repeatedly removes the first element from the queue. 
For the removed element `curr`, the variable `time` is set to `curr.time`. 
Then every neighbour of `curr.node` is examined. 
If a neighbour has not been visited yet, it is marked visited and a new `Edge` containing that neighbour’s id and a time of `time + 1` is added to the back of the queue. 
Thus, nodes are processed in the order they are discovered: all nodes that learn the news at the same moment are processed before any node that learns it later.

The loop ends when the queue becomes empty. 
At that point, the variable `time` holds the moment when the last student was added to the queue, i.e., the moment when the last student learns the news. 
This value is printed as the result."
1314234684,7.5,java,UNKNOWN,BFS_DISTANCE_ARRAY,NO,0.75390625,DFS_DEPTH_TRAVERSAL,0.130859375,0.60546875,BFS_LEVEL_ORDER_TIMER,0.251953125,"The program first reads two integers, **N** (the number of students) and **M** (the number of friendship pairs). 
It then creates a two‑dimensional array `v` of size `(N+1) × (M+1)` and fills it with zeros. 
After that it reads **M** pairs of integers. For each pair `(a, b)` it sets `v[a][b]` to 1. 
(Only the first element of each pair is used as a row index; the second element is used as a column index.)

Next the program prepares an array `cunosc` of length `N+1`. 
`cunosc[i]` is used as a flag: it is 1 if student *i* already knows the news, otherwise 0. 
Initially only student 1 knows the news, so `cunosc[1]` is set to 1. 
Two counters are also created: `nrCun` counts how many students know the news (initially 1) and `timp` counts how many time steps have passed (initially 0).

The main loop runs while the number of students who know the news is less than **N**. 
For each iteration it goes through all students `i` from 1 to **N**. 
For each student it checks every possible friend index `j` from 1 to **M**. 
If `v[i][j]` is 1 **and** student `i` already knows the news (`cunosc[i] == 1`), then student `j` is marked as knowing the news (`cunosc[j] = 1`) and the counter `nrCun` is increased. 
A flag `aflat` is set to 1 whenever at least one new student is marked during this pass.

After the inner loops finish, if `aflat` is 1 the program increments `timp`. 
Thus `timp` is increased only when at least one new student learns the news in that pass.

When the outer loop ends (all students are marked as knowing the news), the program prints the value of `timp`, which represents the number of passes needed for the news to reach everyone."
1314234746,2.5,cpp,UNKNOWN,BFS_DISTANCE_ARRAY,NO,0.82421875,DFS_DEPTH_TRAVERSAL,0.11181640625,0.330078125,DFS_DEPTH_TRAVERSAL,0.291015625,"The program first reads the number of students `n` and the number of friendship pairs `m`. 
It then builds an adjacency list: for every pair `x y` it stores `y` in the list of `x` and `x` in the list of `y`. 
The list is an array of vectors called `adj`; `adj[i]` contains all students that are direct friends of student `i`.

In the function that produces the answer, a vector called `check` of size `n+1` is created. 
All its elements start with the value `0`, meaning “not yet processed”. 
A counter `t` is set to `0`. 

The program then scans all students in order from `1` to `n`. 
For each student `i` it checks whether `check[i]` is still `0`. 
If it is, the program:

1. Increases `t` by one. 
2. Marks student `i` as processed by setting `check[i]` to `1`. 
3. Looks at every friend `j` of student `i` (each `j` is taken from `adj[i]`). 
 If that friend has not yet been marked (`check[j] == 0`), the program marks it by setting `check[j]` to `1`.

After the loop finishes, the program outputs the value of `t`.

Thus the program counts how many times it encounters a student that has not yet been marked, and each time it marks that student and all of its direct friends. The final number printed is the count of such initial encounters."
1314234773,2.5,java,UNKNOWN,BFS_DISTANCE_ARRAY,NO,0.703125,DFS_DEPTH_TRAVERSAL,0.228515625,0.6328125,DFS_DEPTH_TRAVERSAL,0.140625,"The program first builds a list of **Elev** objects, one for each student. 
Each **Elev** keeps

* an integer **id** (the student number),
* an `ArrayList<Elev>` called **prieteni** that stores the friends of that student,
* an integer **visited** that is 0 until the student is processed and then becomes 1.

After reading the number of students **n**, the program creates `n` Elev objects with ids 0 … n‑1 and stores them in the list **elevi**. 
It then reads the number of friendship pairs **p**. For each pair `(x, y)` it subtracts 1 from both numbers (to convert to 0‑based indices) and adds the Elev object for `y` to the **prieteni** list of the Elev object for `x`. 
(Only one direction is added, so the friendship is stored only from `x` to `y`.)

The main part of the program uses a counter **t** that starts at 0. 
It scans the list **elevi** from the first student to the last. 
For each student it checks the **visited** flag:

* If the flag is 0, the student has not yet been processed. 
 The program calls `setVisited()` on that student. 
 Inside `setVisited()` the student’s **visited** flag is set to 1. 
 Then the method iterates over that student’s **prieteni** list. 
 For"
1314234861,7.5,java,UNKNOWN,BFS_DISTANCE_ARRAY,NO,0.6640625,UNKNOWN,0.244140625,0.95703125,BFS_LEVEL_ORDER_TIMER,0.0225830078125,"The program reads a number of students \(N\) and a number of friendship pairs \(M\). 
It builds an **adjacency list**: an array `adj` of size \(N+1\) where each entry is a list that holds the ids of the friends of that student. For every pair \((x,y)\) read from the input, the program adds `y` to the list of `x` and `x` to the list of `y`, because friendships are mutual.

After the graph is stored, the program prepares two arrays of length \(N+1\):

* `dist` – initially all zeros. It will hold a value that the program interprets as a “distance” or “time” for each student.
* `visited` – initially all `false`. It marks whether a student has already been processed.

A **queue** `q` is created and the id `1` (the class leader) is added to it. 
The program then enters a loop that runs while the queue is not empty:

1. It removes the first element `u` from the queue (`q.poll()`).
2. It marks `u` as visited (`visited[u] = true`).
3. It looks at every friend `v` of `u` by iterating over `adj[u]`.
 * If `v` has not been visited yet, the program increases `dist[v]` by one (`dist[v] += 1`) and puts `v` at the back of the queue (`q.add(v)`).

Thus each student is processed exactly once, when it is removed from the queue. 
When a student is processed, all of its friends that have not yet been processed are queued for later processing, and their `dist` values are increased by one. The queue ensures that students are processed in the order they are discovered: first the leader, then all of his direct friends, then friends of those friends, and so on.

After the queue becomes empty, every student that can be reached from the leader has a `dist` value that reflects how many times the program increased it while discovering that student. The program then scans all `dist` values to find the largest one, storing it in `maxim`. Finally, it prints `maxim`.

In short, the program builds a"
1314234895,5.0,java,UNKNOWN,BFS_LEVEL_ORDER_TIMER,NO,0.640625,DFS_DEPTH_TRAVERSAL,0.2080078125,0.6953125,BFS_DISTANCE_ARRAY,0.2255859375,"The program reads two integers, **N** and **M**, which are the number of students and the number of friendship pairs. 
It then builds a square table called `v` of size `(N+1) × (N+1)`. 
Each cell `v[x][y]` is set to `1` if students `x` and `y` are friends; otherwise it stays `0`. 
The table is filled by reading the `M` pairs and writing `1` into the corresponding positions.

After the table is ready, the program creates an array `cunosc` of length `N+1`. 
`cunosc[i]` is used as a flag: it is `1` if student `i` already knows the news, and `0` otherwise. 
Initially only student `1` knows the news, so `cunosc[1]` is set to `1`; all other entries are `0`.

The main loop runs while the number of students who know the news (`nrCun`) is less than `N`. 
In each iteration the program scans the students in increasing order of their indices (`i = 1 … N`). 
For the current student `i` it checks every possible friend `j` (`j = 1 … N`). 
If `v[i][j]` is `1` (meaning `i` and `j` are friends) **and** `cunosc[i]` is `1` (meaning `i` already knows the news), then student `j` is marked as knowing the news by setting `cunosc[j] = 1` and increasing `nrCun`. 
A flag `aflat` is set to `1` to remember that at least one new student learned the news during this pass.

After the inner scan finishes, if `aflat` is `1` the program increments the counter `timp`, which represents the number of time steps that have passed. 
The outer loop then starts a new pass, again scanning all students from the beginning.

When the loop ends, all students have `cunosc[i] = 1` and the program prints the value of `timp`, which is the total number of passes needed for the news to reach everyone."
1314234935,2.5,java,UNKNOWN,DFS_DEPTH_TRAVERSAL,NO,0.74609375,DFS_DEPTH_TRAVERSAL,0.2138671875,0.96875,FLOYD_WARSHALL,0.0201416015625,"The program reads two numbers, **N** and **M**, which are the number of students and the number of friendship pairs. 
It then creates an array called `adj` that can hold up to 100 001 lists. 
For each student `i` (from 1 to N) an empty list is put into `adj[i]`. 
After that it reads the M pairs. For each pair `x y` it puts the number `y` into the list `adj[x]`. 
So the array `adj` stores, for every student, a list of the students that are written after it in the input. 
(Only the second number of each pair is stored, so the graph is treated as directed from `x` to `y`.)

The program also creates a list called `visited` that has N + 1 Boolean values, all initially `false`. 
This list remembers whether a student has already been processed.

A counter `d` is set to 0. 
The program then loops over every student `v` from 1 to N. 
If `visited[v]` is still `false`, it means that student has not been reached by any previous search. 
The counter `d` is increased by one, and a recursive procedure called `DFS` is started with that student.

`DFS` works as follows:

1. It marks the current student `v` as visited (`visited[v] = true`).
2. It looks at the list `adj[v]`. 
 For each number `u` in that list, it checks whether `u` has been visited. 
 If not, it calls itself recursively with `u` as the new current student.
3. After all neighbours of `v` have been processed, it pushes the number `v` onto a stack.

Because the stack is never used again after the DFS finishes, its only purpose is to hold the order in which the students finish the recursion.

After the loop over all students finishes, the variable `d` contains the number of times the DFS was started"
1314235032,2.5,java,UNKNOWN,DIJKSTRA_UNIT_WEIGHT,NO,0.49609375,UNKNOWN,0.33984375,0.98046875,BFS_EXPLICIT_TIME_IN_QUEUE,0.00848388671875,"The program reads a number of students \(N\) and a number of friendship pairs \(M\). 
It builds an adjacency list: an array `adj` of size `NMAX` where each entry `adj[i]` is a list of `Edge` objects. 
Each `Edge` stores a neighbour node and a cost (the cost is always 1 in this problem). 
For every friendship line `x y` the program adds an `Edge(y,1)` to `adj[x]`. 
(Edges are not added in the opposite direction, but the input guarantees that the graph is undirected.)

After the graph is built, the program runs a routine that starts from node 1. 
It keeps three main structures:

* `visited[0…N]` – a boolean array that marks whether a node has already been taken out of the priority queue. 
* `d[0…N]` – an integer list that stores the current best known distance from node 1 to each node. 
 It is initialised with a very large value (`Integer.MAX_VALUE/2`) for all nodes except node 1, which gets 0. 
* `queue` – a priority queue that orders `Edge` objects by their `cost` field (the distance value). 
 Initially the queue contains a single entry `Edge(1,0)`.

The main loop repeatedly removes the entry with the smallest cost from the queue. 
Let that entry be `current`. 
The node `current.node` is marked as visited. 
If the cost stored in the entry is larger than the current best distance in `d`, the entry is ignored (this can happen because a better path was found earlier).

For every neighbour of `current.node` (obtained from `adj[current.node]`) the program checks whether that neighbour has already been visited. 
If not, it calculates a new possible distance `dist = d[current.node] + neigh.cost`. 
If this `dist` is smaller than the current value stored in `d[neigh.node]`, the program updates `d[neigh.node]` to `dist` and inserts a new `Edge(neigh.node, dist)` into the priority queue. 
Thus neighbours that can be reached more cheaply are queued for later processing.

The loop continues until the queue becomes empty."
1314235050,2.5,cpp,UNKNOWN,BFS_LEVEL_ORDER_TIMER,NO,0.97265625,BFS_DISTANCE_ARRAY,0.0084228515625,0.5078125,BFS_DISTANCE_ARRAY,0.2392578125,"The program first reads the number of students `students` and the number of friendship pairs `relationships`. 
It creates an array called `level` that can hold `students` vectors of integers. 
The vector `level[0]` is filled with the single value `1`, representing that student 1 knows the news at time 0. 

While the input still contains pairs `parent child`, the program processes each pair one by one. 
For the current pair it scans all indices `i` from `0` to `students‑1`. 
At each index it checks whether exactly one of the two students of the pair is already stored in `level[i]`. 
If the first student (`parent`) is found in `level[i]` but the second (`child`) is not, the program puts `child` into the next vector `level[i+1]` and stops checking further indices for this pair. 
(If the second student were the one already present, the same test would add the first student to the next level, but the code only adds when the first student is present.)

After all pairs have been read, the program scans the `level` array from the beginning. 
It looks for the first index `i` whose vector is empty. 
When it finds such an index, it prints `i‑1` and stops. 
Thus the printed number is the highest index that contains at least one student, which corresponds to the last “time step” that received a new student."
